section,segment,rows,duration_s,distance_m,real_energy_wh,fusion_energy_wh,run_class,quality_label,service_no,date_service,figure
同德路-石碶,27,2218,110.85,1350.224,12104.596,12420.457,3,0,71327,07/1371327,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_027_07_1371327.jpg
同德路-石碶,28,2215,110.7,1351.225,13950.454,14042.197,3,0,71328,07/1371328,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_028_07_1371328.jpg
同德路-石碶,29,2228,111.35,1350.797,13791.929,13970.52,3,0,71329,07/1371329,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_029_07_1371329.jpg
同德路-石碶,30,2202,110.05,1351.305,11981.806,12106.765,3,0,71330,07/1371330,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_030_07_1371330.jpg
同德路-石碶,31,2218,110.85,1350.51,13868.534,13974.452,3,0,71331,07/1371331,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_031_07_1371331.jpg
同德路-石碶,32,2242,112.05,1350.326,13324.393,13469.073,4,0,71332,07/1371332,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_032_07_1371332.jpg
同德路-石碶,33,2071,103.5,1351.936,12637.522,12816.628,2,1,71333,07/1371333,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_033_07_1371333.jpg
石碶-雅渡,0,1586,79.25,840.326,12340.667,12559.613,2,0,70800,07/0870800,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_000_07_0870800.jpg
石碶-雅渡,1,1584,79.15,839.586,12314.567,12351.852,2,0,70801,07/0870801,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_001_07_0870801.jpg
石碶-雅渡,2,1670,83.45,840.53,13051.76,13197.931,3,0,70802,07/0870802,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_002_07_0870802.jpg
石碶-雅渡,3,1581,79.0,840.294,12659.233,12833.675,2,0,70803,07/0870803,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_003_07_0870803.jpg
石碶-雅渡,4,1641,82.0,840.766,11829.719,11816.429,3,0,70804,07/0870804,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_004_07_0870804.jpg
石碶-雅渡,5,1590,79.45,840.238,12354.373,12447.775,2,0,70805,07/0870805,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_005_07_0870805.jpg
石碶-雅渡,6,1678,83.85,840.133,13078.519,13244.786,3,1,70806,07/0870806,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_006_07_0870806.jpg
石碶-雅渡,7,1573,78.6,840.673,12899.813,12951.645,2,0,70907,07/0970907,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_007_07_0970907.jpg
石碶-雅渡,8,1564,78.15,840.098,13072.815,13292.104,2,0,70908,07/0970908,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_008_07_0970908.jpg
