trip_no,comparison,primary,reference,primary_duration_s,reference_duration_s,duration_difference_s,primary_distance_km,reference_distance_km,primary_energy_kwh,reference_energy_kwh,energy_difference_kwh,energy_error_pct,error_formula,energy_profile_note,plot,max_mass_t,target_time_s,target_run_time_s,target_dwell_time_s
6,03_standard_dp_vs_dwell5_dp,OT Standard DP,OT Dwell 5% DP,3736.0,3741.0,-5.0,36.504,36.504,413.12105555555553,392.3468611111111,20.774194444444447,5.2948542485118235,(OT Standard DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_03_standard_dp_vs_dwell5_dp.png,230.7,3736.3,2966.3,770.0
6,04_standard_dp_vs_real_history,OT Standard DP,Real History,3736.0,3736.2999999999997,-0.29999999999972715,36.504,36.529057916666666,413.12105555555553,446.28070962599304,-33.15965407043751,-7.430223479349368,(OT Standard DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_04_standard_dp_vs_real_history.png,230.7,3736.3,2966.3,770.0
6,05_dwell5_dp_vs_real_history,OT Dwell 5% DP,Real History,3741.0,3736.2999999999997,4.700000000000273,36.504,36.529057916666666,392.3468611111111,446.28070962599304,-53.93384851488196,-12.08518480668398,(OT Dwell 5% DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_05_dwell5_dp_vs_real_history.png,230.7,3736.3,2966.3,770.0
6,06_ot_history_vs_real_history,OT History,Real History,3736.0,3736.2999999999997,-0.29999999999972715,36.504,36.529057916666666,420.00994444444444,446.28070962599304,-26.270765181548597,-5.886601104395683,(OT History - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_06_ot_history_vs_real_history.png,230.7,3736.3,2966.3,770.0
6,07_energy_first_vs_standard_dp,OT Energy-first DP,OT Standard DP,3736.0,3736.0,0.0,36.504,36.504,401.45697222222225,413.12105555555553,-11.66408333333328,-2.8234056764905615,(OT Energy-first DP - OT Standard DP) / OT Standard DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_07_energy_first_vs_standard_dp.png,230.7,3736.3,2966.3,770.0
6,08_energy_first_vs_dwell5_dp,OT Energy-first DP,OT Dwell 5% DP,3736.0,3741.0,-5.0,36.504,36.504,401.45697222222225,392.3468611111111,9.110111111111166,2.321953356606877,(OT Energy-first DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_08_energy_first_vs_dwell5_dp.png,230.7,3736.3,2966.3,770.0
6,09_energy_first_vs_ot_history,OT Energy-first DP,OT History,3736.0,3736.0,0.0,36.504,36.504,401.45697222222225,420.00994444444444,-18.552972222222195,-4.417269749829991,(OT Energy-first DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_09_energy_first_vs_ot_history.png,230.7,3736.3,2966.3,770.0
8,01_standard_dp_vs_ot_history,OT Standard DP,OT History,3804.0,3804.0,0.0,36.5038,36.5041,385.2788333333333,390.05022222222226,-4.771388888888964,-1.223275521214951,(OT Standard DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_01_standard_dp_vs_ot_history.png,216.44,3804.2,3024.2,780.0
8,02_dwell5_dp_vs_ot_history,OT Dwell 5% DP,OT History,3804.0,3804.0,0.0,36.504,36.5041,374.76519444444443,390.05022222222226,-15.285027777777827,-3.918733257141828,(OT Dwell 5% DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_02_dwell5_dp_vs_ot_history.png,216.44,3804.2,3024.2,780.0
8,03_standard_dp_vs_dwell5_dp,OT Standard DP,OT Dwell 5% DP,3804.0,3804.0,0.0,36.5038,36.504,385.2788333333333,374.76519444444443,10.513638888888863,2.8053936290626944,(OT Standard DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_03_standard_dp_vs_dwell5_dp.png,216.44,3804.2,3024.2,780.0
8,04_standard_dp_vs_real_history,OT Standard DP,Real History,3804.0,3804.2,-0.1999999999998181,36.5038,36.52920194444446,385.2788333333333,407.95525492080543,-22.676421587472134,-5.558556070536267,(OT Standard DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_04_standard_dp_vs_real_history.png,216.44,3804.2,3024.2,780.0
8,05_dwell5_dp_vs_real_history,OT Dwell 5% DP,Real History,3804.0,3804.2,-0.1999999999998181,36.504,36.52920194444446,374.76519444444443,407.95525492080543,-33.190060476361,-8.135710982030133,(OT Dwell 5% DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_05_dwell5_dp_vs_real_history.png,216.44,3804.2,3024.2,780.0
8,06_ot_history_vs_real_history,OT History,Real History,3804.0,3804.2,-0.1999999999998181,36.5041,36.52920194444446,390.05022222222226,407.95525492080543,-17.90503269858317,-4.388969741806364,(OT History - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_06_ot_history_vs_real_history.png,216.44,3804.2,3024.2,780.0
