趟次,场景,场景名称,区间序号,区间,选定等级,规划用时(s),生成曲线用时(s),曲线与规划时间差(s),重量(t),代码规划能耗(kWh),Simu物理机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%)
12,standard_dp,规划后：标准 DP,15,柳隘-海晏北路,class3,92.0,91.95,-0.04999999999999716,215.34,11.441600000000001,11.73816330482854,0.2965633048285383,2.5919740668135427
12,standard_dp,规划后：标准 DP,16,海晏北路-民安东路,class3,85.0,85.0,0.0,216.72,14.760309999999999,14.607265768884378,-0.15304423111562038,-1.036863257720335
12,standard_dp,规划后：标准 DP,17,民安东路-会展中心,class3,79.0,78.95,-0.04999999999999716,216.52,11.61234,11.67089422054389,0.05855422054388981,0.5042413548336495
12,standard_dp,规划后：标准 DP,18,会展中心-院士路,class3,115.0,115.0,0.0,216.32,14.93033,15.364547418726342,0.4342174187263428,2.9082908329979498
12,standard_dp,规划后：标准 DP,19,院士路-盎孟港,class3,91.0,90.95,-0.04999999999999716,216.44,17.87278,17.21354098046991,-0.6592390195300872,-3.688508556195999
12,standard_dp,规划后：标准 DP,20,盎孟港-三官堂,class2,132.0,132.0,0.0,216.44,17.64881,17.25103908064434,-0.39777091935566133,-2.253811556448629
12,standard_dp,规划后：标准 DP,21,三官堂-兴庄路,class2,99.0,99.0,0.0,216.14,11.57501,11.879154491883149,0.3041444918831484,2.6275959319529605
12,standard_dp,规划后：标准 DP,22,兴庄路-兴海南路,class2,87.0,86.95,-0.04999999999999716,215.54,15.84608,17.712479823604138,1.8663998236041373,11.778306203200648
12,standard_dp,规划后：标准 DP,23,兴海南路-梅堰,class3,82.0,81.95,-0.04999999999999716,215.54,11.320350000000001,11.729860602309312,0.4095106023093109,3.617472978391224
12,standard_dp,规划后：标准 DP,24,梅堰-永茂路,class5,345.1,345.05,-0.05000000000001137,215.54,23.496669999999998,24.816939300241838,1.32026930024184,5.618963454148354
12,standard_dp,规划后：标准 DP,25,永茂路-镇海大道,class2,141.0,141.0,0.0,215.44,17.12964,17.187932787221847,0.058292787221848386,0.3403036328950777
12,standard_dp,规划后：标准 DP,26,镇海大道-骆驼桥,class2,116.0,116.0,0.0,215.34,20.05162,18.996406844906787,-1.0552131550932131,-5.262483306053142
12,energy_first,规划后：Energy First,1,布政-张家潭,class3,115.0,115.0,0.0,215.24,12.947629999999998,12.909928848727692,-0.03770115127230689,-0.2911818709084743
12,energy_first,规划后：Energy First,2,张家潭-同德路,class1,141.0,141.0,0.0,215.24,17.89072,16.54448961359441,-1.3462303864055905,-7.5247412424183615
12,energy_first,规划后：Energy First,3,同德路-石碶,class3,109.0,108.95,-0.04999999999999716,215.24,13.094430000000001,13.023890911529268,-0.07053908847073309,-0.5386953725418601
12,energy_first,规划后：Energy First,4,石碶-雅渡,class2,80.0,80.0,0.0,215.34,11.04612,10.75397939942932,-0.29214060057068103,-2.644734989033987
12,energy_first,规划后：Energy First,5,雅渡-庙堰,class2,129.0,129.0,0.0,215.54,20.52253,20.781455671879897,0.2589256718798971,1.2616654568413208
12,energy_first,规划后：Energy First,6,庙堰-钟公庙,class3,96.0,95.95,-0.04999999999999716,215.54,12.48254,12.73708073870593,0.25454073870593064,2.039174228209408
12,energy_first,规划后：Energy First,7,钟公庙-鄞州区政府,class3,90.0,90.0,0.0,215.54,10.33224,11.148000931854877,0.8157609318548769,7.895296004108275
12,energy_first,规划后：Energy First,8,鄞州区政府-钱湖南路,class3,132.1,132.05,-0.04999999999998295,215.64,16.05129,15.487562795205429,-0.5637272047945725,-3.512036757136482
12,energy_first,规划后：Energy First,9,钱湖南路-南高教园区,class3,100.0,100.05,0.04999999999999716,215.54,13.57518,13.950624855179553,0.3754448551795537,2.765671285239339
12,energy_first,规划后：Energy First,10,南高教园区-下应路,class3,114.0,114.0,0.0,215.54,18.38662,17.920616364673286,-0.4660036353267145,-2.534471454387563
12,energy_first,规划后：Energy First,11,下应路-大洋江,class2,101.0,101.0,0.0,215.74,13.28309,13.522846299749093,0.23975629974909296,1.8049738407937683
12,energy_first,规划后：Energy First,12,大洋江-泗港,class3,92.0,92.0,0.0,215.54,10.72052,11.148166570867593,0.4276465708675925,3.9890469013405365
12,energy_first,规划后：Energy First,13,泗港-曹隘,class4,137.0,137.0,0.0,215.64,22.92677,23.724152452004684,0.7973824520046833,3.477953728347618
12,energy_first,规划后：Energy First,14,曹隘-柳隘,class5,119.0,119.0,0.0,215.44,13.499229999999999,14.322523037976401,0.8232930379764021,6.098814806299338
12,energy_first,规划后：Energy First,15,柳隘-海晏北路,class3,92.0,91.95,-0.04999999999999716,215.34,11.441600000000001,11.73816330482854,0.2965633048285383,2.5919740668135427
12,energy_first,规划后：Energy First,16,海晏北路-民安东路,class3,85.0,85.0,0.0,216.72,14.760309999999999,14.607265768884378,-0.15304423111562038,-1.036863257720335
12,energy_first,规划后：Energy First,17,民安东路-会展中心,class4,83.0,83.0,0.0,216.52,6.88989,8.175103343075106,1.2852133430751058,18.653611931033815
12,energy_first,规划后：Energy First,18,会展中心-院士路,class3,115.0,115.0,0.0,216.32,14.93033,15.364547418726342,0.4342174187263428,2.9082908329979498
12,energy_first,规划后：Energy First,19,院士路-盎孟港,class4,96.0,95.95,-0.04999999999999716,216.44,14.07688,13.653751293665737,-0.42312870633426236,-3.005841538283074
12,energy_first,规划后：Energy First,20,盎孟港-三官堂,class2,132.0,132.0,0.0,216.44,17.64881,17.25103908064434,-0.39777091935566133,-2.253811556448629
12,energy_first,规划后：Energy First,21,三官堂-兴庄路,class1,94.0,94.05,0.04999999999999716,216.14,13.12821,14.494184906567561,1.365974906567562,10.404883122433004
12,energy_first,规划后：Energy First,22,兴庄路-兴海南路,class4,96.0,95.95,-0.04999999999999716,215.54,9.47856,9.901783573721271,0.4232235737212715,4.465061926297576
12,energy_first,规划后：Energy First,23,兴海南路-梅堰,class3,82.0,81.95,-0.04999999999999716,215.54,11.320350000000001,11.729860602309312,0.4095106023093109,3.617472978391224
12,energy_first,规划后：Energy First,24,梅堰-永茂路,class3,313.0,313.0,0.0,215.54,29.93444,28.878401116745227,-1.0560388832547716,-3.5278391152624593
12,energy_first,规划后：Energy First,25,永茂路-镇海大道,class5,164.1,164.05,-0.04999999999998295,215.44,15.09746,13.330445974844233,-1.7670140251557669,-11.704048397252034
12,energy_first,规划后：Energy First,26,镇海大道-骆驼桥,class2,116.0,116.0,0.0,215.34,20.05162,18.996406844906787,-1.0552131550932131,-5.262483306053142
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,1,布政-张家潭,class3,115.0,115.0,0.0,215.24,12.947629999999998,12.909928848727692,-0.03770115127230689,-0.2911818709084743
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,2,张家潭-同德路,class2,148.0,148.0,0.0,215.24,17.599220000000003,17.07919670196743,-0.520023298032573,-2.9548087814833432
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,3,同德路-石碶,class3,109.0,108.95,-0.04999999999999716,215.24,13.094430000000001,13.023890911529268,-0.07053908847073309,-0.5386953725418601
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,4,石碶-雅渡,class2,80.0,80.0,0.0,215.34,11.04612,10.75397939942932,-0.29214060057068103,-2.644734989033987
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,5,雅渡-庙堰,class4,139.0,139.0,0.0,215.54,18.17381,19.698171706564345,1.5243617065643456,8.387683741407804
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,6,庙堰-钟公庙,class3,96.0,95.95,-0.04999999999999716,215.54,12.48254,12.73708073870593,0.25454073870593064,2.039174228209408
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,7,钟公庙-鄞州区政府,class4,95.0,94.95,-0.04999999999999716,215.54,7.97163,8.96919232277886,0.997562322778859,12.513906475574746
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,8,鄞州区政府-钱湖南路,class3,132.1,132.05,-0.04999999999998295,215.64,16.05129,15.487562795205429,-0.5637272047945725,-3.512036757136482
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,9,钱湖南路-南高教园区,class3,100.0,100.05,0.04999999999999716,215.54,13.57518,13.950624855179553,0.3754448551795537,2.765671285239339
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,10,南高教园区-下应路,class3,114.0,114.0,0.0,215.54,18.38662,17.920616364673286,-0.4660036353267145,-2.534471454387563
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,11,下应路-大洋江,class3,106.0,106.0,0.0,215.74,11.24734,11.352055866560837,0.10471586656083787,0.9310278391231872
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,12,大洋江-泗港,class3,92.0,92.0,0.0,215.54,10.72052,11.148166570867593,0.4276465708675925,3.9890469013405365
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,13,泗港-曹隘,class4,137.0,137.0,0.0,215.64,22.92677,23.724152452004684,0.7973824520046833,3.477953728347618
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,14,曹隘-柳隘,class4,113.0,112.95,-0.04999999999999716,215.44,15.929870000000001,16.4408549252087,0.5109849252086995,3.2077156009979966
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,15,柳隘-海晏北路,class3,92.0,91.95,-0.04999999999999716,215.34,11.441600000000001,11.73816330482854,0.2965633048285383,2.5919740668135427
