trip_no,trip_label,section_count,historical_run_time_s,historical_dwell_time_s,historical_total_time_s,historical_energy_wh,csv,xlsx
112,trip112,24,2596.2,690.0,3286.2,385836.22,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip112\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip112\Historical_Only_Report.xlsx
113,trip113,24,2628.3,690.0,3318.3,371598.66,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip113\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip113\Historical_Only_Report.xlsx
114,trip114,24,2629.8,690.0,3319.8,358793.29,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip114\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip114\Historical_Only_Report.xlsx
115,trip115,24,2634.75,690.0,3324.75,362358.35,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip115\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip115\Historical_Only_Report.xlsx
116,trip116,24,2579.1,690.0,3269.1,384170.91,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip116\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip116\Historical_Only_Report.xlsx
117,trip117,24,2574.7,690.0,3264.7,390307.24,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip117\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip117\Historical_Only_Report.xlsx
118,trip118,24,2624.15,690.0,3314.15,368194.88,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip118\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip118\Historical_Only_Report.xlsx
119,trip119,24,2590.3,690.0,3280.3,392708.27,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip119\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip119\Historical_Only_Report.xlsx
120,trip120,24,2609.15,690.0,3299.15,374880.49,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip120\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip120\Historical_Only_Report.xlsx
121,trip121,24,2626.95,690.0,3316.95,381414.92,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip121\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip121\Historical_Only_Report.xlsx
122,trip122,24,2621.45,690.0,3311.45,376112.78,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip122\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip122\Historical_Only_Report.xlsx
123,trip123,24,2603.65,690.0,3293.65,380945.55,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip123\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip123\Historical_Only_Report.xlsx
124,trip124,24,2610.95,690.0,3300.95,372425.51,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip124\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip124\Historical_Only_Report.xlsx
125,trip125,24,2626.5,690.0,3316.5,376595.17,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip125\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip125\Historical_Only_Report.xlsx
