trip_no,tsvp_file,sections,history_dwell_s,status,valid_for_stats,flag,opentrack_points,history_points,opentrack_duration_s,history_duration_s,duration_error_s,duration_error_pct,opentrack_distance_km,history_distance_km,distance_ratio,distance_error_km,distance_error_pct,opentrack_energy_kwh,history_energy_kwh,energy_error_kwh,energy_error_pct,plot,error
31,D:\OutPut\OT_priority_history_trip031.tsvP,5,30.0,ok,True,ok,554,11704,735.0,704.95,30.049999999999955,4.262713667635996,7.463,7.467770416666678,0.9993611993405648,-0.004770416666677768,-0.06388006594352556,75.0816111111111,78.93121264592351,-3.8496015348124075,-4.877160005233018,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip031_vs_history_trip031_vt_vs_et_es.jpg,
32,D:\OutPut\OT_priority_history_trip032.tsvP,5,30.0,ok,True,ok,553,11750,737.0,707.25,29.75,4.2064333686815125,7.463,7.46994791666666,0.9990698841887293,-0.00694791666666017,-0.09301158112706845,75.63519444444444,78.93848011610409,-3.3032856716596513,-4.184632978493026,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip032_vs_history_trip032_vt_vs_et_es.jpg,
33,D:\OutPut\OT_priority_history_trip033.tsvP,5,30.0,ok,True,ok,559,11901,745.0,714.8,30.200000000000045,4.224958030218249,7.463,7.467040416666669,0.9994588998530595,-0.004040416666668989,-0.054110014694050024,74.33311111111111,79.19989977723617,-4.866788666125061,-6.144942960551428,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip033_vs_history_trip033_vt_vs_et_es.jpg,
34,D:\OutPut\OT_priority_history_trip034.tsvP,5,30.0,ok,True,ok,558,11887,744.0,714.1,29.899999999999977,4.187088643047189,7.463,7.46558083333332,0.9996543024058093,-0.0025808333333197098,-0.03456975941907241,73.43572222222222,80.44320900466656,-7.007486782444332,-8.711098014548156,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip034_vs_history_trip034_vt_vs_et_es.jpg,
35,D:\OutPut\OT_priority_history_trip035.tsvP,5,30.0,ok,True,ok,558,11803,740.0,709.9,30.100000000000023,4.240033807578535,7.463,7.4686437499999965,0.9992443407144709,-0.005643749999996395,-0.07556592855291025,74.98527777777778,78.55404065363896,-3.5687628758611822,-4.543067226288966,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip035_vs_history_trip035_vt_vs_et_es.jpg,
36,D:\OutPut\OT_priority_history_trip036.tsvP,5,30.0,ok,True,ok,556,11846,742.0,712.05,29.950000000000045,4.206165297380808,7.463,7.467024444444432,0.999461037730039,-0.0040244444444317296,-0.05389622699609576,75.15158333333333,79.24667832040262,-4.095094987069288,-5.167528878008476,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip036_vs_history_trip036_vt_vs_et_es.jpg,
37,D:\OutPut\OT_priority_history_trip037.tsvP,5,30.0,ok,True,ok,556,11854,742.0,712.45,29.549999999999955,4.147659484876125,7.463,7.467513611111106,0.9993955670727683,-0.004513611111105931,-0.06044329272316307,74.07522222222222,79.1293458117361,-5.054123589513878,-6.387167159878471,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip037_vs_history_trip037_vt_vs_et_es.jpg,
38,D:\OutPut\OT_priority_history_trip038.tsvP,5,30.0,ok,True,ok,559,11862,743.0,712.85,30.149999999999977,4.229501297608189,7.463,7.46639583333333,0.9995451843956399,-0.003395833333329712,-0.04548156043601644,74.42680555555556,77.35998921641679,-2.933183660861232,-3.791602985692729,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip038_vs_history_trip038_vt_vs_et_es.jpg,
39,D:\OutPut\OT_priority_history_trip039.tsvP,5,30.0,ok,True,ok,556,11874,743.0,713.45,29.549999999999955,4.141845959772928,7.463,7.469374166666664,0.999146626407456,-0.006374166666663683,-0.08533735925440007,73.87363888888889,80.04703177321545,-6.17339288432656,-7.712207120704556,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip039_vs_history_trip039_vt_vs_et_es.jpg,
40,D:\OutPut\OT_priority_history_trip040.tsvP,5,30.0,ok,True,ok,556,11853,742.0,712.4,29.600000000000023,4.1549691184727715,7.463,7.466947777777776,0.9994712996668432,-0.003947777777775663,-0.05287003331568168,74.46172222222222,80.05847078243059,-5.596748560208368,-6.990826211779972,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip040_vs_history_trip040_vt_vs_et_es.jpg,
