segment,区段,列车运行方向,运行等级,曲线质量标签,是否是晚上八点以后的趟次,起始时刻s,结束时刻s,来源文件,运行时长s
32,庙堰-雅渡,DOWN,class4,1,1,0.0,136.6,results_庙堰-雅渡.xlsx,136.6
0,张家潭-同德路,UP,class3,0,0,0.0,150.8,results_张家潭-同德路.xlsx,150.8
1,张家潭-同德路,UP,class3,0,0,0.0,150.5,results_张家潭-同德路.xlsx,150.5
2,张家潭-同德路,UP,class3,0,0,0.0,150.55,results_张家潭-同德路.xlsx,150.55
3,张家潭-同德路,UP,class3,0,0,0.0,150.1,results_张家潭-同德路.xlsx,150.1
4,张家潭-同德路,UP,class3,0,0,0.0,151.55,results_张家潭-同德路.xlsx,151.55
5,张家潭-同德路,UP,class3,0,0,0.0,151.55,results_张家潭-同德路.xlsx,151.55
6,张家潭-同德路,UP,class3,1,1,0.0,151.65,results_张家潭-同德路.xlsx,151.65
7,张家潭-同德路,UP,class3,0,0,0.0,151.1,results_张家潭-同德路.xlsx,151.1
8,张家潭-同德路,UP,class3,0,0,0.0,152.65,results_张家潭-同德路.xlsx,152.65
9,张家潭-同德路,UP,class3,0,0,0.0,151.65,results_张家潭-同德路.xlsx,151.65
10,张家潭-同德路,UP,class3,0,0,0.0,152.15,results_张家潭-同德路.xlsx,152.15
11,张家潭-同德路,UP,class3,0,0,0.0,150.6,results_张家潭-同德路.xlsx,150.6
12,张家潭-同德路,UP,class3,0,0,0.0,151.35,results_张家潭-同德路.xlsx,151.35
13,张家潭-同德路,UP,class3,0,0,0.0,150.1,results_张家潭-同德路.xlsx,150.1
14,张家潭-同德路,UP,class2,1,1,0.0,146.2,results_张家潭-同德路.xlsx,146.2
15,张家潭-同德路,UP,class3,0,0,0.0,150.6,results_张家潭-同德路.xlsx,150.6
16,张家潭-同德路,UP,class3,0,0,0.0,152.05,results_张家潭-同德路.xlsx,152.05
17,张家潭-同德路,UP,class3,0,0,0.0,152.0,results_张家潭-同德路.xlsx,152.0
18,张家潭-同德路,UP,class4,1,1,0.0,158.4,results_张家潭-同德路.xlsx,158.4
19,张家潭-同德路,UP,class3,0,0,0.0,150.2,results_张家潭-同德路.xlsx,150.2
20,张家潭-同德路,UP,class2,0,0,0.0,147.75,results_张家潭-同德路.xlsx,147.75
21,张家潭-同德路,UP,class3,0,0,0.0,153.0,results_张家潭-同德路.xlsx,153.0
22,张家潭-同德路,UP,class3,0,0,0.0,152.15,results_张家潭-同德路.xlsx,152.15
23,张家潭-同德路,UP,class3,0,0,0.0,149.85,results_张家潭-同德路.xlsx,149.85
24,张家潭-同德路,UP,class3,0,0,0.0,151.7,results_张家潭-同德路.xlsx,151.7
25,张家潭-同德路,UP,class3,0,0,0.0,151.65,results_张家潭-同德路.xlsx,151.65
26,张家潭-同德路,UP,class3,1,1,0.0,151.75,results_张家潭-同德路.xlsx,151.75
27,张家潭-同德路,UP,class3,0,0,0.0,152.0,results_张家潭-同德路.xlsx,152.0
28,张家潭-同德路,UP,class3,0,0,0.0,151.85,results_张家潭-同德路.xlsx,151.85
29,张家潭-同德路,UP,class3,0,0,0.0,150.95,results_张家潭-同德路.xlsx,150.95
