section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
雅渡-庙堰,60,2605,130.2,1859.618,21587.108,21191.812,-1.831,2,0,71560,07/1571560,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_60_07_1571560.jpg
雅渡-庙堰,61,2588,129.35,1861.056,22873.462,22616.007,-1.126,2,0,71561,07/1571561,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_61_07_1571561.jpg
雅渡-庙堰,62,2610,130.45,1860.274,21410.648,21139.792,-1.265,2,0,71562,07/1571562,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_62_07_1571562.jpg
雅渡-庙堰,63,2705,135.2,1860.803,20521.616,20656.468,0.657,3,0,71563,07/1571563,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_63_07_1571563.jpg
雅渡-庙堰,64,2625,131.2,1860.89,21540.072,21227.152,-1.453,3,0,71564,07/1571564,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_64_07_1571564.jpg
雅渡-庙堰,65,2647,132.3,1860.283,21612.44,21379.645,-1.077,3,0,71565,07/1571565,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_65_07_1571565.jpg
雅渡-庙堰,66,2602,130.05,1861.228,22986.28,22713.524,-1.187,2,0,71666,07/1671666,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_66_07_1671666.jpg
雅渡-庙堰,67,2643,132.1,1860.908,20853.678,20818.291,-0.17,3,0,71667,07/1671667,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_67_07_1671667.jpg
雅渡-庙堰,68,2604,130.15,1860.744,21287.424,21059.744,-1.07,2,0,71668,07/1671668,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_68_07_1671668.jpg
雅渡-庙堰,69,2708,135.35,1859.974,20480.316,20510.565,0.148,3,0,71669,07/1671669,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_69_07_1671669.jpg
雅渡-庙堰,70,2639,131.9,1860.854,20833.194,20636.0,-0.947,3,0,71670,07/1671670,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_70_07_1671670.jpg
雅渡-庙堰,71,2699,134.9,1860.207,20002.062,20005.96,0.019,3,0,71671,07/1671671,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_71_07_1671671.jpg
雅渡-庙堰,72,2629,131.4,1860.568,21623.921,21471.787,-0.704,3,1,71672,07/1671672,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_72_07_1671672.jpg
雅渡-庙堰,73,2590,129.45,1860.498,21793.925,21336.854,-2.097,2,0,71773,07/1771773,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_73_07_1771773.jpg
