# step: energy_menu
# command: C:\Users\bit11\AppData\Local\Programs\Python\Python311\python.exe D:\energy_conservation\scripts\ato_generated_results_energy.py
# ENERGY_TRIP_NO: 1
# ENERGY_TRIP_INDEX: 0
# PYTHONIOENCODING: utf-8:replace
# started: 2026-05-25T15:29:59

🚀 开始批量评估 26 个区间的 ATO 轨迹能耗：第 1 趟车...
   ✅ 鄞州区政府-钱湖南路 | class4 | 139.0s -> 总:16997.8Wh (物理:17896.8Wh + 残差:-898.9Wh)
   ✅ 鄞州区政府-钱湖南路 | class5 | 146.0s -> 总:16144.5Wh (物理:16474.5Wh + 残差:-330.0Wh)
   ✅ 钟公庙-鄞州区政府 | class2 | 86.0s -> 总:13671.6Wh (物理:15466.4Wh + 残差:-1794.8Wh)
   ✅ 钟公庙-鄞州区政府 | class3 | 90.0s -> 总:9944.3Wh (物理:11353.9Wh + 残差:-1409.7Wh)
   ✅ 钟公庙-鄞州区政府 | class4 | 95.0s -> 总:7515.5Wh (物理:9175.1Wh + 残差:-1659.6Wh)
   ✅ 钟公庙-鄞州区政府 | class5 | 99.0s -> 总:6587.9Wh (物理:8047.8Wh + 残差:-1459.9Wh)
   ✅ 钱湖南路-南高教园区 | class2 | 96.0s -> 总:16932.9Wh (物理:15299.4Wh + 残差:1633.4Wh)
   ✅ 钱湖南路-南高教园区 | class3 | 100.0s -> 总:15168.8Wh (物理:12525.0Wh + 残差:2643.8Wh)
   ✅ 钱湖南路-南高教园区 | class4 | 105.0s -> 总:13224.5Wh (物理:10755.8Wh + 残差:2468.7Wh)
   ✅ 钱湖南路-南高教园区 | class5 | 111.0s -> 总:10126.4Wh (物理:9363.7Wh + 残差:762.7Wh)
   ✅ 镇海大道-骆驼桥 | class2 | 116.0s -> 总:20147.7Wh (物理:19036.5Wh + 残差:1111.2Wh)
   ✅ 镇海大道-骆驼桥 | class3 | 122.0s -> 总:17450.3Wh (物理:17219.1Wh + 残差:231.2Wh)
   ✅ 镇海大道-骆驼桥 | class4 | 128.0s -> 总:15110.9Wh (物理:15950.4Wh + 残差:-839.5Wh)
   ✅ 镇海大道-骆驼桥 | class5 | 134.0s -> 总:13914.6Wh (物理:14843.0Wh + 残差:-928.5Wh)
   ✅ 院士路-盎孟港 | class2 | 87.95s -> 总:19441.9Wh (物理:13276.7Wh + 残差:6165.2Wh)
   ✅ 院士路-盎孟港 | class3 | 90.95s -> 总:16026.8Wh (物理:10137.7Wh + 残差:5889.1Wh)
   ✅ 院士路-盎孟港 | class4 | 96.0s -> 总:14204.6Wh (物理:8438.1Wh + 残差:5766.5Wh)
   ✅ 院士路-盎孟港 | class5 | 100.05s -> 总:13033.9Wh (物理:7563.5Wh + 残差:5470.4Wh)
   ✅ 雅渡-庙堰 | class2 | 129.0s -> 总:20478.5Wh (物理:20053.1Wh + 残差:425.4Wh)
   ✅ 雅渡-庙堰 | class3 | 132.0s -> 总:21258.6Wh (物理:19967.4Wh + 残差:1291.2Wh)
   ✅ 雅渡-庙堰 | class4 | 139.0s -> 总:18593.6Wh (物理:17900.5Wh + 残差:693.1Wh)
   ✅ 雅渡-庙堰 | class5 | 146.0s -> 总:16614.5Wh (物理:16463.3Wh + 残差:151.2Wh)

✨ 评估完成！能耗菜单已生成：D:\energy_conservation\output\analysis\ato_class_energy_menu1_new_v3.csv
👉 现在你可以运行 DP 调度算法来选择最优 Class 组合了。

# finished: 2026-05-25T16:02:30
# return_code: 0
# elapsed_seconds: 1950.4
