趟次,场景,场景名称,区间数,最大区间列车质量(t),历史运行时间(s),历史停站时间(s),代码或历史能耗(kWh),新版Simu机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),Simu与代码绝对差值(kWh),Simu与代码绝对误差(%),代码数值复现版本,图文件
42,standard_dp,标准 DP,26,247.700000,2965.550000,773.000000,439.144070,443.512333,4.368263,0.994722,4.368263,0.994722,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip042\01_standard_dp.png
42,energy_first,Energy First,26,247.700000,2965.550000,773.000000,417.999430,420.597213,2.597783,0.621480,2.597783,0.621480,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip042\02_energy_first.png
42,dwell5_dp,停站放宽 5% DP,26,247.700000,2965.550000,773.000000,417.182660,419.428365,2.245705,0.538303,2.245705,0.538303,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip042\03_dwell5_dp.png
44,history,历史运行,26,216.640000,3035.200000,775.000000,405.776210,418.340854,12.564644,3.096447,12.564644,3.096447,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip044\00_history.png
44,standard_dp,标准 DP,26,216.640000,3035.200000,775.000000,387.736190,395.377224,7.641034,1.970679,7.641034,1.970679,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip044\01_standard_dp.png
44,energy_first,Energy First,26,216.640000,3035.200000,775.000000,376.244320,379.860403,3.616083,0.961100,3.616083,0.961100,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip044\02_energy_first.png
44,dwell5_dp,停站放宽 5% DP,26,216.640000,3035.200000,775.000000,382.767010,389.928546,7.161536,1.870991,7.161536,1.870991,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip044\03_dwell5_dp.png
49,history,历史运行,26,215.740000,2965.750000,775.000000,435.104177,446.233920,11.129743,2.557949,11.129743,2.557949,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip049\00_history.png
49,standard_dp,标准 DP,26,215.740000,2965.750000,775.000000,413.894340,421.122001,7.227661,1.746257,7.227661,1.746257,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip049\01_standard_dp.png
49,energy_first,Energy First,26,215.740000,2965.750000,775.000000,409.087150,414.355064,5.267914,1.287724,5.267914,1.287724,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip049\02_energy_first.png
49,dwell5_dp,停站放宽 5% DP,26,215.740000,2965.750000,775.000000,394.133710,399.210328,5.076618,1.288045,5.076618,1.288045,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip049\03_dwell5_dp.png
50,history,历史运行,26,228.100000,2965.900000,771.000000,443.039610,453.785034,10.745424,2.425387,10.745424,2.425387,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip050\00_history.png
50,standard_dp,标准 DP,26,228.100000,2965.900000,771.000000,425.476910,427.420090,1.943180,0.456706,1.943180,0.456706,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip050\01_standard_dp.png
50,energy_first,Energy First,26,228.100000,2965.900000,771.000000,420.523240,421.757423,1.234183,0.293488,1.234183,0.293488,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip050\02_energy_first.png
50,dwell5_dp,停站放宽 5% DP,26,228.100000,2965.900000,771.000000,405.125140,406.235477,1.110337,0.274072,1.110337,0.274072,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip050\03_dwell5_dp.png
53,history,历史运行,26,216.340000,3027.300000,781.000000,400.294504,412.084107,11.789603,2.945232,11.789603,2.945232,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip053\00_history.png
53,standard_dp,标准 DP,26,216.340000,3027.300000,781.000000,397.083620,402.731905,5.648285,1.422442,5.648285,1.422442,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip053\01_standard_dp.png
53,energy_first,Energy First,26,216.340000,3027.300000,781.000000,394.380090,400.889708,6.509618,1.650595,6.509618,1.650595,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip053\02_energy_first.png
53,dwell5_dp,停站放宽 5% DP,26,216.340000,3027.300000,781.000000,383.145780,389.343761,6.197981,1.617656,6.197981,1.617656,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip053\03_dwell5_dp.png
57,history,历史运行,26,225.900000,2967.950000,768.000000,441.513988,453.945850,12.431861,2.815734,12.431861,2.815734,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip057\00_history.png
57,standard_dp,标准 DP,26,225.900000,2967.950000,768.000000,419.694190,419.398403,-0.295787,-0.070477,0.295787,0.070477,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip057\01_standard_dp.png
57,energy_first,Energy First,26,225.900000,2967.950000,768.000000,416.723270,417.380354,0.657084,0.157679,0.657084,0.157679,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip057\02_energy_first.png
57,dwell5_dp,停站放宽 5% DP,26,225.900000,2967.950000,768.000000,403.599000,404.835825,1.236825,0.306449,1.236825,0.306449,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip057\03_dwell5_dp.png
60,history,历史运行,26,217.750000,3068.350000,747.000000,370.716316,392.569477,21.853161,5.894847,21.853161,5.894847,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip060\00_history.png
60,standard_dp,标准 DP,26,217.750000,3068.350000,747.000000,384.724380,393.289447,8.565067,2.226287,8.565067,2.226287,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip060\01_standard_dp.png
60,energy_first,Energy First,26,217.750000,3068.350000,747.000000,370.230120,377.002431,6.772311,1.829217,6.772311,1.829217,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip060\02_energy_first.png
60,dwell5_dp,停站放宽 5% DP,26,217.750000,3068.350000,747.000000,383.709320,390.293351,6.584031,1.715890,6.584031,1.715890,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip060\03_dwell5_dp.png
62,history,历史运行,26,231.700000,2959.700000,781.000000,450.456563,446.997629,-3.458933,-0.767873,3.458933,0.767873,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip062\00_history.png
62,standard_dp,标准 DP,26,231.700000,2959.700000,781.000000,430.776550,432.844410,2.067860,0.480031,2.067860,0.480031,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip062\01_standard_dp.png
62,energy_first,Energy First,26,231.700000,2959.700000,781.000000,417.352210,417.400162,0.047952,0.011489,0.047952,0.011489,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip062\02_energy_first.png
62,dwell5_dp,停站放宽 5% DP,26,231.700000,2959.700000,781.000000,411.790610,410.913584,-0.877026,-0.212979,0.877026,0.212979,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip062\03_dwell5_dp.png
66,history,历史运行,26,231.200000,2965.900000,773.000000,447.645251,443.161863,-4.483388,-1.001549,4.483388,1.001549,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip066\00_history.png
66,standard_dp,标准 DP,26,231.200000,2965.900000,773.000000,429.431190,429.871226,0.440036,0.102469,0.440036,0.102469,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip066\01_standard_dp.png
66,energy_first,Energy First,26,231.200000,2965.900000,773.000000,424.254120,424.063864,-0.190256,-0.044845,0.190256,0.044845,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip066\02_energy_first.png
66,dwell5_dp,停站放宽 5% DP,26,231.200000,2965.900000,773.000000,408.775370,408.502388,-0.272982,-0.066781,0.272982,0.066781,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip066\03_dwell5_dp.png
67,history,历史运行,26,249.600000,2968.800000,774.000000,450.944084,446.559131,-4.384953,-0.972394,4.384953,0.972394,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip067\00_history.png
67,standard_dp,标准 DP,26,249.600000,2968.800000,774.000000,441.609130,445.242554,3.633424,0.822769,3.633424,0.822769,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip067\01_standard_dp.png
67,energy_first,Energy First,26,249.600000,2968.800000,774.000000,419.861670,421.616071,1.754401,0.417852,1.754401,0.417852,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip067\02_energy_first.png
67,dwell5_dp,停站放宽 5% DP,26,249.600000,2968.800000,774.000000,419.197240,420.254412,1.057172,0.252190,1.057172,0.252190,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip067\03_dwell5_dp.png
