section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,108,109,07/2872908,0,2374,auto,65.45,65.1681,64.08,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,109,110,07/2872909,0,2358,auto,66.64,66.4143,65.4115,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,110,111,07/2872910,1,2326,auto,66.68,66.4275,65.3,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,111,112,07/2973011,0,2359,auto,65.62,65.3526,64.23,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,112,113,07/2973012,0,2335,auto,66.78,66.57,65.5,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,113,114,07/2973013,0,2378,auto,62.94,62.67,61.99,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,114,115,07/2973014,0,2396,auto,63.11,62.87,61.89,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,115,116,07/2973015,0,2287,auto,68.43,68.34,68.16,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,116,117,07/2973016,0,2319,auto,67.33,67.0646,66.79,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,117,118,07/2973017,1,2359,auto,65.56,65.3184,64.14,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,118,119,07/3073118,0,2360,auto,65.13,64.84,64.01,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,119,120,07/3073119,0,2362,auto,65.11,64.7156,63.99,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,120,121,07/3073120,0,2385,auto,64.13,64,63.87,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,121,122,07/3073121,0,2278,auto,76.32,76.1623,73.569,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,122,123,07/3073122,0,2375,auto,64.85,64.54,63.77,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,123,124,07/3073123,0,2351,auto,65.07,64.7,63.82,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,124,125,07/3073124,1,2372,auto,64.97,64.6458,63.89,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
2,张家潭-同德路,0,1,07/0170100,0,3018,auto,65.64,65.3266,64.43,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,1,2,07/0170101,0,2933,auto,67.24,67.17,67.05,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,2,3,07/0170102,0,3036,auto,64.15,63.82,63.69,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,3,4,07/0170103,0,3009,auto,65.49,65.206,64.51,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,4,5,07/0170104,0,3010,auto,64.19,63.9091,63.79,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,5,6,07/0170105,0,3014,auto,64.08,63.82,63.69,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,6,7,07/0170106,0,3000,auto,65.53,65.1205,64.44,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,7,8,07/0170107,1,3005,auto,65.41,65.08,64.39,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,8,9,07/0270208,0,3025,auto,64.28,63.95,63.798,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,9,10,07/0270209,0,3004,auto,65.45,65.1697,64.51,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
