message,trainID,stationID,time,delay,received_at
trainDeparture,priority_history,STA_21,31540.0,1.0,2026-07-02T15:05:06
trainDeparture,priority_history,STA_21,31540.0,1.0,2026-07-02T15:10:52
trainDeparture,priority_history,STA_21,31540.0,1.0,2026-07-02T15:11:36
trainPass,priority_history,STA_21,31541.0,0.0,2026-07-02T15:05:06
trainPass,priority_history,STA_21,31541.0,0.0,2026-07-02T15:10:52
trainPass,priority_history,STA_21,31541.0,0.0,2026-07-02T15:11:36
trainArrival,priority_history,STA_22,31627.0,-13.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_22,31627.0,-13.0,2026-07-02T15:10:52
trainArrival,priority_history,STA_22,31627.0,-13.0,2026-07-02T15:11:36
trainDeparture,priority_history,STA_22,31670.0,0.0,2026-07-02T15:05:06
trainDeparture,priority_history,STA_22,31670.0,0.0,2026-07-02T15:10:52
trainDeparture,priority_history,STA_22,31670.0,0.0,2026-07-02T15:11:36
trainPass,priority_history,STA_22,31671.0,0.0,2026-07-02T15:05:06
trainPass,priority_history,STA_22,31671.0,0.0,2026-07-02T15:10:52
trainPass,priority_history,STA_22,31671.0,0.0,2026-07-02T15:11:36
trainArrival,priority_history,STA_23,31754.0,-7.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_23,31754.0,-7.0,2026-07-02T15:10:53
trainArrival,priority_history,STA_23,31754.0,-7.0,2026-07-02T15:11:36
trainDeparture,priority_history,STA_23,31791.0,0.0,2026-07-02T15:05:06
trainDeparture,priority_history,STA_23,31791.0,0.0,2026-07-02T15:10:53
trainDeparture,priority_history,STA_23,31791.0,0.0,2026-07-02T15:11:36
trainPass,priority_history,STA_23,31792.0,0.0,2026-07-02T15:05:06
trainPass,priority_history,STA_23,31792.0,0.0,2026-07-02T15:10:53
trainPass,priority_history,STA_23,31792.0,0.0,2026-07-02T15:11:36
trainArrival,priority_history,STA_24,31868.0,-6.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_24,31868.0,-6.0,2026-07-02T15:10:53
trainArrival,priority_history,STA_24,31868.0,-6.0,2026-07-02T15:11:36
trainDeparture,priority_history,STA_24,31904.0,0.0,2026-07-02T15:05:07
trainDeparture,priority_history,STA_24,31904.0,0.0,2026-07-02T15:10:53
trainDeparture,priority_history,STA_24,31904.0,0.0,2026-07-02T15:11:36
trainPass,priority_history,STA_24,31905.0,0.0,2026-07-02T15:05:07
trainPass,priority_history,STA_24,31905.0,0.0,2026-07-02T15:10:53
trainPass,priority_history,STA_24,31905.0,0.0,2026-07-02T15:11:36
trainArrival,priority_history,STA_25,32227.0,-6.0,2026-07-02T15:05:07
trainArrival,priority_history,STA_25,32227.0,-6.0,2026-07-02T15:10:53
trainArrival,priority_history,STA_25,32227.0,-6.0,2026-07-02T15:11:37
trainDeparture,priority_history,STA_25,32263.0,0.0,2026-07-02T15:05:07
trainDeparture,priority_history,STA_25,32263.0,0.0,2026-07-02T15:10:53
trainDeparture,priority_history,STA_25,32263.0,0.0,2026-07-02T15:11:37
trainPass,priority_history,STA_25,32264.0,0.0,2026-07-02T15:05:07
trainPass,priority_history,STA_25,32264.0,0.0,2026-07-02T15:10:53
trainPass,priority_history,STA_25,32264.0,0.0,2026-07-02T15:11:37
trainArrival,priority_history,STA_26,32421.0,15.0,2026-07-02T15:05:07
trainArrival,priority_history,STA_26,32421.0,15.0,2026-07-02T15:10:53
trainArrival,priority_history,STA_26,32421.0,15.0,2026-07-02T15:11:37
trainDeparture,priority_history,STA_26,32451.0,15.0,2026-07-02T15:05:07
trainDeparture,priority_history,STA_26,32451.0,15.0,2026-07-02T15:10:53
trainDeparture,priority_history,STA_26,32451.0,15.0,2026-07-02T15:11:37
trainPass,priority_history,STA_26,32452.0,0.0,2026-07-02T15:05:07
trainPass,priority_history,STA_26,32452.0,0.0,2026-07-02T15:10:53
trainPass,priority_history,STA_26,32452.0,0.0,2026-07-02T15:11:37
trainArrival,priority_history,STA_27,32561.0,8.0,2026-07-02T15:05:07
trainArrival,priority_history,STA_27,32561.0,8.0,2026-07-02T15:10:53
trainArrival,priority_history,STA_27,32561.0,8.0,2026-07-02T15:11:37
