趟次,场景,场景名称,区间数,最大载重(t),历史运行时间(s),历史停站时间(s),代码或历史能耗(kWh),Simu机械能耗(kWh),OpenTrack机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),OT-代码(kWh),OT相对代码误差(%),OT-Simu(kWh),OT相对Simu误差(%),代码未逐点复现区间数,图文件
16,energy_first,Energy First,26,216.340000,2964.550000,775.000000,412.971080,420.538818,409.815639,7.567738,1.832510,-3.155441,-0.764083,-10.723179,-2.549867,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip016\02_energy_first.png
16,dwell5_dp,停站放宽 5% DP,26,216.340000,2964.550000,775.000000,394.374070,399.280821,387.149083,4.906751,1.244187,-7.224987,-1.832014,-12.131737,-3.038397,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip016\03_dwell5_dp.png
19,history,历史运行,26,217.820000,3024.100000,778.000000,404.663754,400.666669,388.579972,-3.997085,-0.987755,-16.083782,-3.974604,-12.086697,-3.016646,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip019\00_history.png
19,standard_dp,标准 DP,26,217.820000,3024.100000,778.000000,390.244500,396.599030,383.828472,6.354530,1.628346,-6.416028,-1.644105,-12.770558,-3.220017,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip019\01_standard_dp.png
19,energy_first,Energy First,26,217.820000,3024.100000,778.000000,376.551470,378.602527,371.091500,2.051057,0.544695,-5.459970,-1.449993,-7.511027,-1.983882,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip019\02_energy_first.png
19,dwell5_dp,停站放宽 5% DP,26,217.820000,3024.100000,778.000000,383.758910,389.771942,374.842417,6.013032,1.566877,-8.916493,-2.323462,-14.929525,-3.830323,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip019\03_dwell5_dp.png
21,history,历史运行,26,230.700000,2963.250000,774.000000,450.713561,445.064129,425.528222,-5.649432,-1.253442,-25.185339,-5.587881,-19.535907,-4.389459,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip021\00_history.png
21,standard_dp,标准 DP,26,230.700000,2963.250000,774.000000,433.145710,433.490274,419.111028,0.344564,0.079549,-14.034682,-3.240176,-14.379246,-3.317086,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip021\01_standard_dp.png
21,energy_first,Energy First,26,230.700000,2963.250000,774.000000,428.656450,427.119855,415.546139,-1.536595,-0.358468,-13.110311,-3.058466,-11.573716,-2.709712,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip021\02_energy_first.png
21,dwell5_dp,停站放宽 5% DP,26,230.700000,2963.250000,774.000000,412.576910,410.792065,398.581806,-1.784845,-0.432609,-13.995104,-3.392120,-12.210259,-2.972370,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip021\03_dwell5_dp.png
35,history,历史运行,26,218.300000,3023.250000,791.000000,413.384442,410.266059,393.978583,-3.118383,-0.754354,-19.405859,-4.694385,-16.287476,-3.969979,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip035\00_history.png
35,standard_dp,标准 DP,26,218.300000,3023.250000,791.000000,395.593770,399.726064,387.883889,4.132294,1.044580,-7.709881,-1.948939,-11.842175,-2.962573,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip035\01_standard_dp.png
35,energy_first,Energy First,26,218.300000,3023.250000,791.000000,385.260960,387.213461,379.472556,1.952501,0.506800,-5.788404,-1.502463,-7.740905,-1.999131,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip035\02_energy_first.png
35,dwell5_dp,停站放宽 5% DP,26,218.300000,3023.250000,791.000000,386.109830,391.983002,376.531972,5.873172,1.521114,-9.577858,-2.480604,-15.451029,-3.941760,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip035\03_dwell5_dp.png
40,history,历史运行,26,217.720000,3025.050000,788.000000,418.775661,415.710733,394.416833,-3.064928,-0.731878,-24.358828,-5.816677,-21.293900,-5.122288,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip040\00_history.png
40,standard_dp,标准 DP,26,217.720000,3025.050000,788.000000,392.046530,396.505812,384.595611,4.459282,1.137437,-7.450919,-1.900519,-11.910201,-3.003790,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip040\01_standard_dp.png
40,energy_first,Energy First,26,217.720000,3025.050000,788.000000,377.365960,379.262250,372.329917,1.896290,0.502507,-5.036043,-1.334525,-6.932333,-1.827847,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip040\02_energy_first.png
40,dwell5_dp,停站放宽 5% DP,26,217.720000,3025.050000,788.000000,385.110010,390.052092,375.104611,4.942082,1.283291,-10.005399,-2.598063,-14.947481,-3.832176,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip040\03_dwell5_dp.png
42,history,历史运行,26,247.700000,2965.550000,773.000000,454.405230,467.675793,432.631806,13.270563,2.920425,-21.773424,-4.791632,-35.043987,-7.493222,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip042\00_history.png
42,standard_dp,标准 DP,26,247.700000,2965.550000,773.000000,439.144070,443.512333,429.843889,4.368263,0.994722,-9.300181,-2.117797,-13.668444,-3.081863,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip042\01_standard_dp.png
42,energy_first,Energy First,26,247.700000,2965.550000,773.000000,417.999430,420.597213,412.414444,2.597783,0.621480,-5.584986,-1.336123,-8.182769,-1.945512,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip042\02_energy_first.png
42,dwell5_dp,停站放宽 5% DP,26,247.700000,2965.550000,773.000000,417.182660,419.428365,407.016139,2.245705,0.538303,-10.166521,-2.436947,-12.412226,-2.959320,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip042\03_dwell5_dp.png
44,history,历史运行,26,216.640000,3035.200000,775.000000,405.776210,418.340854,393.577306,12.564644,3.096447,-12.198905,-3.006313,-24.763548,-5.919467,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip044\00_history.png
44,standard_dp,标准 DP,26,216.640000,3035.200000,775.000000,387.736190,395.377224,382.067222,7.641034,1.970679,-5.668968,-1.462068,-13.310002,-3.366406,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip044\01_standard_dp.png
44,energy_first,Energy First,26,216.640000,3035.200000,775.000000,376.244320,379.860403,371.861833,3.616083,0.961100,-4.382487,-1.164798,-7.998570,-2.105660,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip044\02_energy_first.png
44,dwell5_dp,停站放宽 5% DP,26,216.640000,3035.200000,775.000000,382.767010,389.928546,373.916722,7.161536,1.870991,-8.850288,-2.312187,-16.011824,-4.106348,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip044\03_dwell5_dp.png
49,history,历史运行,26,215.740000,2965.750000,775.000000,435.104177,446.233920,416.222861,11.129743,2.557949,-18.881315,-4.339493,-30.011058,-6.725409,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip049\00_history.png
49,standard_dp,标准 DP,26,215.740000,2965.750000,775.000000,413.894340,421.122001,407.931389,7.227661,1.746257,-5.962951,-1.440694,-13.190612,-3.132254,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip049\01_standard_dp.png
49,energy_first,Energy First,26,215.740000,2965.750000,775.000000,409.087150,414.355064,403.784222,5.267914,1.287724,-5.302928,-1.296283,-10.570842,-2.551155,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip049\02_energy_first.png
49,dwell5_dp,停站放宽 5% DP,26,215.740000,2965.750000,775.000000,394.133710,399.210328,387.098722,5.076618,1.288045,-7.034988,-1.784924,-12.111606,-3.033891,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip049\03_dwell5_dp.png
50,history,历史运行,26,228.100000,2965.900000,771.000000,443.039610,453.785034,418.828667,10.745424,2.425387,-24.210944,-5.464736,-34.956368,-7.703288,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip050\00_history.png
50,standard_dp,标准 DP,26,228.100000,2965.900000,771.000000,425.476910,427.420090,415.784056,1.943180,0.456706,-9.692854,-2.278115,-11.636034,-2.722388,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip050\01_standard_dp.png
50,energy_first,Energy First,26,228.100000,2965.900000,771.000000,420.523240,421.757423,410.768806,1.234183,0.293488,-9.754434,-2.319595,-10.988618,-2.605436,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip050\02_energy_first.png
50,dwell5_dp,停站放宽 5% DP,26,228.100000,2965.900000,771.000000,405.125140,406.235477,393.754028,1.110337,0.274072,-11.371112,-2.806815,-12.481449,-3.072466,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip050\03_dwell5_dp.png
53,history,历史运行,26,216.340000,3027.300000,781.000000,400.294504,412.084107,393.930639,11.789603,2.945232,-6.363865,-1.589796,-18.153468,-4.405282,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip053\00_history.png
53,standard_dp,标准 DP,26,216.340000,3027.300000,781.000000,397.083620,402.731905,390.392861,5.648285,1.422442,-6.690759,-1.684975,-12.339044,-3.063836,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip053\01_standard_dp.png
53,energy_first,Energy First,26,216.340000,3027.300000,781.000000,394.380090,400.889708,390.117722,6.509618,1.650595,-4.262368,-1.080777,-10.771986,-2.687020,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip053\02_energy_first.png
53,dwell5_dp,停站放宽 5% DP,26,216.340000,3027.300000,781.000000,383.145780,389.343761,374.445694,6.197981,1.617656,-8.700086,-2.270699,-14.898067,-3.826456,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip053\03_dwell5_dp.png
57,history,历史运行,26,225.900000,2967.950000,768.000000,441.513988,453.945850,422.432222,12.431861,2.815734,-19.081766,-4.321894,-31.513628,-6.942156,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip057\00_history.png
57,standard_dp,标准 DP,26,225.900000,2967.950000,768.000000,419.694190,419.398403,407.648389,-0.295787,-0.070477,-12.045801,-2.870138,-11.750014,-2.801635,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip057\01_standard_dp.png
